load_case_id,node_id,x_m,ux_mm,uy_mm,uz_mm,translation_mm
LC-STR-01,50,-6.0,-0.21361845493942505,0.0006214103260840518,9.475974244173123e-05,0.21361937978776485
LC-STR-01,51,-6.0,-0.21362151234226018,0.00037206331451618746,0.000504193380977343,0.2136224313537084
LC-STR-01,52,-6.0,-0.21361440032033158,-9.521785596269368e-05,0.0006203541400869226,0.21361532232008568
LC-STR-01,53,-6.0,-0.2136174583371088,-0.0005069819087996447,0.0003718195416653924,0.21361838354138396
LC-STR-01,54,-6.0,-0.2136184549394366,-0.0006214103261515514,-9.475974248164198e-05,0.21361937978777662
LC-STR-01,55,-6.0,-0.21362151234226753,-0.0003720633145838434,-0.0005041933810177386,0.21362243135371595
LC-STR-01,56,-6.0,-0.21361440032032997,9.521785589495347e-05,-0.0006203541401269859,0.21361532232008415
LC-STR-01,57,-3.5,-0.24923467781563427,0.0007663808918536286,0.08581509312689432,0.2635957931642915
LC-STR-01,58,-3.5,-0.2492297702953251,-0.06018025193057256,0.06117682884611744,0.26359010890311274
LC-STR-01,59,-3.5,-0.2492369309137776,-0.0858131922079017,0.0007660717702508148,0.2635973037688106
LC-STR-01,60,-3.5,-0.2492285928764993,-0.06117384811274443,-0.06018341180822639,0.26358902529695644
LC-STR-01,61,-3.5,-0.24923467781564446,-0.0007663808919400142,-0.08581509312695168,0.2635957931643201
LC-STR-01,62,-3.5,-0.2492297702953385,0.06018025193048677,-0.06117682884617453,0.26359010890311907
LC-STR-01,63,-3.5,-0.24923693091378618,0.08581319220781523,-0.0007660717703091704,0.2635973037687907
LC-STR-01,64,-3.5,-0.24922859287649798,0.061173848112657234,0.06018341180816936,0.26358902529692196
LC-STR-01,65,-2.5,-0.26365644752127715,0.0008576911134307337,0.07395082963366276,0.27383239975775886
LC-STR-01,66,-2.5,-0.26365459000217006,-0.05181190269210544,0.0527657967546878,0.27382922670333354
LC-STR-01,67,-2.5,-0.26365789334397915,-0.07394885585891396,0.0008601395984193626,0.2738332665063839
LC-STR-01,68,-2.5,-0.26365377599360124,-0.05276181815128848,-0.05181436772445572,0.2738281427337205
LC-STR-01,69,-2.5,-0.26365644752128764,-0.0008576911135277638,-0.07395082963372825,0.27383239975778695
LC-STR-01,70,-2.5,-0.26365459000218433,0.05181190269200878,-0.05276579675475317,0.27382922670334153
LC-STR-01,71,-2.5,-0.2636578933439885,0.07394885585881701,-0.0008601395984854757,0.27383326650636697
LC-STR-01,72,-2.5,-0.26365377599360046,0.05276181815119131,0.05181436772439031,0.27382814273368866
LC-STR-01,73,-1.0,-0.28520294969034776,0.000626436426800311,0.1041860051662408,0.3036376765277521
LC-STR-01,74,-1.0,-0.2852052763571041,-0.07325269596649664,0.0740863933776425,0.30363926098579364
LC-STR-01,75,-1.0,-0.2852038544203098,-0.10418397245970067,0.0006301056735082274,0.3036378364546236
LC-STR-01,76,-1.0,-0.2852050534489517,-0.07408185822320695,-0.07325497871171108,0.30363849580821595
LC-STR-01,77,-1.0,-0.28520294969035886,-0.0006264364269118703,-0.10418600516632051,0.3036376765277901
LC-STR-01,78,-1.0,-0.28520527635711895,0.07325269596638463,-0.07408639337772248,0.30363926098580013
LC-STR-01,79,-1.0,-0.2852038544203199,0.10418397245958905,-0.000630105673587583,0.3036378364545949
LC-STR-01,80,-1.0,-0.28520505344895086,0.07408185822309551,0.0732549787116314,0.3036384958081687
LC-STR-01,81,1.5,-0.3208197396354199,0.0007644639294435719,0.018057601700334568,0.32132844057755916
LC-STR-01,82,1.5,-0.3208152689667903,-0.012273762855947288,0.013266299591106041,0.321323943648336
