time_min,normal_240_m3_h_ppm,degraded_80_m3_h_ppm,fan_loss_from_nominal_ss_ppm
47.0,584.1112429912839,795.7848048983491,1282.962962962963
48.0,584.3285888566442,799.4112644899243,1297.7777777777778
49.0,584.5274488538314,802.9318496821672,1312.5925925925926
50.0,584.7093952571631,806.3496514755843,1327.4074074074074
51.0,584.8758666146688,809.6676706289975,1342.2222222222222
52.0,585.0281791218816,812.8888202941482,1357.037037037037
53.0,585.1675370282569,816.0159285733837,1371.8518518518517
54.0,585.2950421584966,819.0517410026723,1386.6666666666665
55.0,585.4117026240583,821.9989229621266,1401.4814814814813
56.0,585.5184407937263,824.8600620161518,1416.2962962962963
57.0,585.6161005862638,827.6376701852736,1431.111111111111
58.0,585.7054541428042,830.3341861516394,1445.9259259259259
59.0,585.7872079317382,832.9519774001311,1460.7407407407406
60.0,585.8620083343613,835.493342296967,1475.5555555555557
61.0,585.9304467554495,837.9605121076196,1490.3703703703704
62.0,585.9930642991626,840.3556529558208,1505.1851851851852
63.0,586.0503560472528,842.6808677253725,1520.0
64.0,586.1027749733971,844.9381979064357,1534.8148148148148
65.0,586.1507355246058,847.1296253879154,1549.6296296296296
66.0,586.1946168980226,849.2570741975189,1564.4444444444443
67.0,586.234766039023,851.3224121910113,1579.2592592592591
68.0,586.2715003843174,853.327452692154,1594.074074074074
69.0,586.3051103717436,855.2739560847658,1608.8888888888887
70.0,586.3358617365969,857.1636313583024,1623.703703703704
71.0,586.3639976126491,858.9981376083144,1638.5185185185187
72.0,586.3897404544709,860.7790854930981,1653.3333333333335
73.0,586.4132937962555,862.5080386478202,1668.1481481481483
74.0,586.4348438610486,864.1865150573566,1682.962962962963
75.0,586.4545610331099,865.8159883890521,1697.7777777777778
76.0,586.472601205046,867.397889286569,1712.5925925925926
77.0,586.4891070103646,868.9336066259631,1727.4074074074074
78.0,586.5042089511988,870.4244887350874,1742.2222222222222
79.0,586.5180264301135,871.871844577396,1757.037037037037
80.0,586.5306686941547,873.2769449011873,1771.8518518518517
81.0,586.5422356986038,874.6410233552938,1786.6666666666665
82.0,586.5528188972694,875.9652775722003,1801.4814814814813
83.0,586.5625019655595,877.2508702195408,1816.296296296296
84.0,586.5713614620572,878.4989300208958,1831.1111111111109
85.0,586.5794674338257,879.7105527467885,1845.925925925926
86.0,586.5868839702314,880.8868021767485,1860.7407407407409
87.0,586.5936697096627,882.0287110332875,1875.5555555555557
88.0,586.59987830315,883.1372818886094,1890.3703703703704
89.0,586.6055588385558,884.2134880448465,1905.1851851851852
90.0,586.6107562286829,885.2582743885993,1920.0
91.0,586.6155115663763,886.2725582205269,1934.8148148148148
92.0,586.6198624494206,887.2572300607181,1949.6296296296296
93.0,586.6238432778044,888.2131544305497,1964.4444444444443
94.0,586.6274855257024,889.1411706117176,1979.2592592592591
95.0,586.630817990323,890.0420933831091,1994.074074074074
96.0,586.6338670195923,890.916713736162,2008.8888888888891
97.0,586.6366567204726,891.7657995693381,2023.703703703704
98.0,586.6392091495621,892.5900963623226,2038.5185185185187
99.0,586.641544487484,893.3903278305393,2053.3333333333335
100.0,586.6436811984439,894.1671965605577,2068.1481481481483
101.0,586.6456361762151,894.9213846269499,2082.962962962963
102.0,586.6474248777092,895.6535541911372,2097.777777777778
103.0,586.6490614451842,896.3643480827546,2112.5925925925926
104.0,586.6505588180602,897.0543903640414,2127.4074074074074
105.0,586.6519288352233,897.7242868777552,2142.222222222222
106.0,586.6531823286301,898.3746257790888,2157.037037037037
107.0,586.6543292089489,899.0059780520586,2171.8518518518517
108.0,586.6553785439181,899.6188980108169,2186.6666666666665
109.0,586.6563386300403,900.2139237863274,2201.4814814814813
110.0,586.6572170581771,900.7915777988336,2216.296296296296
111.0,586.6580207735666,901.3523672165328,2231.1111111111113
112.0,586.6587561307349,901.896784400859,2245.925925925926
113.0,586.6594289437381,902.4253073387664,2260.740740740741
114.0,586.6600445321309,902.9384000623915,2275.5555555555557
115.0,586.6606077630248,903.4365130564637,2290.3703703703704
116.0,586.6611230895704,903.9200836538223,2305.185185185185
117.0,586.6615945861653,904.3895364193845,2320.0
118.0,586.662025980668,904.8452835229054,2334.814814814815
119.0,586.6624206838727,905.287725100854,2349.6296296296296
120.0,586.6627818164761,905.7172496077249,2364.4444444444443
