case_id,mach,altitude_m,alpha_deg,CL_screening,CD_screening,L_over_D_screening,Cm_screening,dynamic_pressure_Pa,Reynolds_number
CFD-SK-03,2.0,25000.0,-4.0,-0.15358897417550102,0.08471791459765654,-1.8129456432553592,-0.026622419590427222,7030.8619558145,13007209.747842448
CFD-SK-03,2.0,25000.0,-3.0,-0.11519173063162577,0.08265382696118181,-1.3936648170655825,-0.028716814692820416,7030.8619558145,13007209.747842448
CFD-SK-03,2.0,25000.0,-2.0,-0.07679448708775051,0.08117947864941413,-0.9459839896163799,-0.030811209795213613,7030.8619558145,13007209.747842448
CFD-SK-03,2.0,25000.0,-1.0,-0.038397243543875255,0.08029486966235354,-0.478202950018336,-0.032905604897606806,7030.8619558145,13007209.747842448
CFD-SK-03,2.0,25000.0,0.0,0.0,0.08,0.0,-0.035,7030.8619558145,13007209.747842448
CFD-SK-03,2.0,25000.0,1.0,0.038397243543875255,0.08029486966235354,0.478202950018336,-0.0370943951023932,7030.8619558145,13007209.747842448
CFD-SK-03,2.0,25000.0,2.0,0.07679448708775051,0.08117947864941413,0.9459839896163799,-0.0391887902047864,7030.8619558145,13007209.747842448
CFD-SK-03,2.0,25000.0,3.0,0.11519173063162577,0.08265382696118181,1.3936648170655825,-0.04128318530717959,7030.8619558145,13007209.747842448
CFD-SK-03,2.0,25000.0,4.0,0.15358897417550102,0.08471791459765654,1.8129456432553592,-0.043377580409572784,7030.8619558145,13007209.747842448
CFD-SK-03,2.0,25000.0,5.0,0.19198621771937627,0.08737174155883835,2.1973491004535814,-0.04547197551196598,7030.8619558145,13007209.747842448
CFD-SK-03,2.0,25000.0,6.0,0.23038346126325154,0.09061530784472722,2.542434239234969,-0.04756637061435918,7030.8619558145,13007209.747842448
CFD-SK-03,2.0,25000.0,7.0,0.2687807048071268,0.09444861345532317,2.8457877249226913,-0.049660765716752375,7030.8619558145,13007209.747842448
CFD-SK-03,2.0,25000.0,8.0,0.30717794835100204,0.09887165839062617,3.106835197781258,-0.051755160819145565,7030.8619558145,13007209.747842448
CFD-SK-03,2.0,25000.0,9.0,0.3455751918948773,0.10388444265063626,3.3265345905262045,-0.05384955592153876,7030.8619558145,13007209.747842448
CFD-SK-03,2.0,25000.0,10.0,0.38397243543875254,0.1094869662353534,3.507015023261898,-0.05594395102393196,7030.8619558145,13007209.747842448
CFD-SK-03,2.0,25000.0,11.0,0.4223696789826278,0.1156792291447776,3.651214501559426,-0.05803834612632515,7030.8619558145,13007209.747842448
CFD-SK-03,2.0,25000.0,12.0,0.4607669225265031,0.12246123137890891,3.7625534002743946,-0.06013274122871835,7030.8619558145,13007209.747842448
CFD-SK-03,2.0,25000.0,13.0,0.43076692252650306,0.11711202830859085,3.678246622041502,-0.06222713633111154,7030.8619558145,13007209.747842448
CFD-SK-03,2.0,25000.0,14.0,0.4007669225265031,0.11212282523827283,3.5743562622046947,-0.06432153143350475,7030.8619558145,13007209.747842448
CFD-SK-03,2.0,25000.0,15.0,0.3707669225265031,0.1074936221679548,3.449199264559097,-0.06641592653589792,7030.8619558145,13007209.747842448
