node_id,x_mm,y_mm,z_mm,group
210,-16000.000,1600.000,2771.281,PROP_MOUNT
211,-16000.000,-1600.000,2771.281,PROP_MOUNT
212,-16000.000,-3200.000,0.000,PROP_MOUNT
213,-16000.000,-1600.000,-2771.281,PROP_MOUNT
214,-16000.000,1600.000,-2771.281,PROP_MOUNT
215,21400.000,800.000,0.000,DOCK_FRAME
216,21400.000,565.685,565.685,DOCK_FRAME
217,21400.000,0.000,800.000,DOCK_FRAME
218,21400.000,-565.685,565.685,DOCK_FRAME
219,21400.000,-800.000,0.000,DOCK_FRAME
220,21400.000,-565.685,-565.685,DOCK_FRAME
221,21400.000,-0.000,-800.000,DOCK_FRAME
222,21400.000,565.685,-565.685,DOCK_FRAME
